27,Juice !
27,Spy's Demise
27,The Princess and the Frog
27,Wing Wars
28,Alphabet Zoo
28,Boulderdan 1
28,Boulderdan 2
28,Ghostbusters
28,Mirax Force
28,Motorcross 800
28,Rocket Repairman
28,Whomper Stomper
29,Awati
29,Basic Burger
29,Bristles
29,Cuttle Mania !
29,Mario Bros.
29,Mickey in the Great Outdoors
29,Moon Patrol
29,The Tail of Beta Lyrae
29,Xagon
29,Zone Ranger
30,Buck Rogers
30,Computer War
30,Flip and Flop
30,Homepong
30,Let's Hop
30,Matterhorn
30,Moon Shuttle
30,Mr. M
30,Pacman
30,Planetary Defense
30,Space Travel
30,Special Delivery
31,Blue-Print
31,Countermeasure
31,Cross Fire
31,Defender
31,Gyruss
31,Maxwell Manor - Skull of Doom
31,Ms. Pac-Man
31,Pole Position
31,Silicon Warrior (Multi-Joy)
31,Twilight World
32,Capture the Flag
32,Elevator Repairman
32,Erg
32,Final Orbit
32,Gorf
32,Green Beret
32,Montezuma's Revenge ! (preliminary version)
32,Tank
32,The Math Works - Addition
32,The Spy Strikes Back !
32,Tree Surgeon
33,Astromeda
33,Moogles
33,Pitfall II - Lost Caverns
33,Pitstop II
33,Poker SAM
33,Pole Position - Race Designer
33,Quasimodo (1983)
33,Robbo - The New Amazing Adventures
33,Sea Dragon
34,Arax
34,Buried Bucks
34,"Centipede (Atari, 1982)"
34,Crystal Castles
34,Hardhat Willy
34,James Bond
34,Kangaroo
34,Missile Command (Title Version)
34,Rocks !
34,Spider City
34,Tomahawk
35,Astro-Droid
35,Breath of the Dragon
35,Elektra Glide
35,Grisu
35,Leaderboard Golf
35,The Extirpator !
36,DoughtyDan Remix
36,Haunted Hill
36,K-Razy Shootout
36,Ninja
36,Rampage (Title Version)
36,The Great American Cross-Country Road Race
36,Warhawk
37,Caverns of Eriban
37,Knibble Eat 1
37,Knibble Eat 2
37,Knibble Eat 3
37,Milk Race
37,Moon Patrol (Avalon Hill)
37,Tales of Dragons & Cavemen
37,The Activision Decathlon
37,World Karate Championship
38,F-15 Strike Eagle (Title Version)
38,Hellcat Ace
38,Smack
38,War-Copter
38,Weltraumkolonie
39,Boulder Dash Dig Dug 001
39,Boulder Dash Ninja 001
39,Bounce Ball
39,Chimera
39,Dan Strikes Back
39,Desmond's Dungeon
39,Lost Tomb
39,Mankala
39,Maxter Mind
39,Power Down
39,Protector
39,Stratos
39,Tennis
40,Blast !
40,Caterpiggle
40,Cosmic Defender
40,Crystal Raider
40,Gladiator
40,Laser Gates
40,Little Devil
40,Odin
40,Super Pacman
40,Tales of Dragons & Cavemen (Title Version)
40,The Warsaw Robbo
40,Wyzle !
41,Butterflies
41,Checkers (Odesta)
41,Fidget
41,Galaxian
41,Hyperblast!
41,Keystone Kapers
41,One Man and his Droid
41,Pharaohs Curse
41,Quarxon
41,The Lone Raider
41,War Games
41,Webster
42,Bruce Lee
42,Busy Baby
42,Karmic Caverns
42,Los Angeles SWAT
42,Midas Maze
42,Mig Alley Ace
42,Telefon Terror
42,Tetrix
42,The Last Will and Testament
42,Tutunkhamun
43,Beat the Beatles
43,Bomb Fusion (Title Version)
43,Fire One
43,Freaky Factory
43,Labyrinth (Jens Woehrmann)
43,Lorien's Tomb (Title Version)
43,Nexuss (Part I)
43,Unicum 2
44,Ballblazer
44,Choplifter
44,Moon Patrol (Title Version)
44,Star Wars: The Empire Strikes Back (Title Version)
44,Tank Battle (Multi-Joy)
44,The Last Starfighter
44,Uridium (Title Version)
45,BMX - Simulator (Title Version)
45,Groove
45,Kik-Start
45,National Flags
45,Raid over Moscow (Title Version)
45,Rescue
45,Stellar Shuttle
46,Airwolf
46,Billy Raster Blaster (Color Version)
46,Blue Diamonds
46,Jump!
46,Rainbow Walker
46,Speed King
46,Super Huey
46,The Final Fight
46,The Scrolls of Abadon
47,Arkanoid (Title Version)
47,Attack of the Mutant Camels
47,Dimension X
47,Frenesis
47,Guard (Title Version)
47,Monster Smash !
47,Panic Express
47,Strip Poker Candi
47,Vanguard
48,Air Strike II
48,Darts
48,Landscape
48,Mediator
48,Pinhead
48,Shadow World
48,Submarine Commander
48,Triad
48,Zone Ranger (Title Version)
49,Asteroids (Multi-Joy)
49,ATARI Basketball (Multi-Joy)
49,ATARI Soccer
49,ATARI Tennis (Multi-Joy)
49,Aztec Challenge (1983)
49,Bounty Bob Strikes Back !
49,House of Usher
49,Morky
49,Motie
49,Silent Service
49,Twomaze
50,Agent U.S.A.
50,Capt. Sticky's Gold
50,Eryus (Title Version)
50,Fire Chief
50,Slot-Machine
50,Space Lobsters
50,The Living Daylights
51,Grand Prix Simulator (Title Version)
51,Rescue on Fractalus !
51,Space Hawk
51,The Last V8
51,Zone X
52,Beach Head
52,Dizzy Dice
52,Druid
52,Electrician
52,Krucjata (Title Version)
52,Starquake
53,Cohen's Towers
53,Domain of the Undead
53,Droga Wojownika (Title Version)
53,Hijack !
53,Montezuma's Revenge !
53,N.Y.C. The Big Apple
53,Timeslip
53,Trailblazer
54,Gremlins
54,Leaper
54,Mr. Robot
54,Nuclear Nick
54,Pole Minowe II
54,Rebound
54,Robotron: 2084
54,Submission
54,Zeppelin
55,Bulldog
55,Chuckie Egg
55,Colossus Chess 3.0
55,Pastfinder
55,Pitstop
55,Starblade
55,Who Dares Wins II
56,Arena
56,Ballblazer (Title Version)
56,Colossus Chess 4.0
56,Knockout !
56,Pengo
56,Qix (5200)
56,Star Raiders
56,Strip Poker Marlena
56,The Cavern of Death
56,The Snapper
56,Zand's Labyrinth
57,Beamrider
57,Candy Factory
57,Labyrinthe
57,Rockford
57,Savage Pond
57,Spitfire '40
57,Sqoid II
57,Tixo
58,Action Biker
58,Arkanoid
58,A Spell of Christmas Ice
58,Fighter Pilot
58,Firefleet
58,Flying Ace
58,Professional Roulette
58,River Rescue
58,Star Trek
58,The Rifts of Time
58,Time Runner
59,Captain Beeble
59,Citadel Warrior
59,Don's Ball
59,Silicon Dreams Part 1 - Snowball
59,Silicon Dreams Part 2 - Return to Eden
